K,T,cumulative_profit,delta,profit_shortfall,pseudo_regret,scale,seed,sweep
12,32768,-3593.090909090918,0.05,3593.090909090918,1203.438693438674,3759.739131925734,0,K
12,32768,-3572.5454545454604,0.05,3572.5454545454604,1197.4091574284398,3759.739131925734,1,K
12,32768,-3576.5454545454663,0.05,3576.5454545454663,1168.7099411812778,3759.739131925734,2,K
12,32768,-3604.1818181818353,0.05,3604.1818181818353,1255.422620202483,3759.739131925734,3,K
12,32768,-3575.72727272728,0.05,3575.72727272728,1246.632435919947,3759.739131925734,4,K
12,32768,-3582.909090909103,0.05,3582.909090909103,1164.4178011666295,3759.739131925734,5,K
12,32768,-3623.8181818181965,0.05,3623.8181818181965,1177.4337387463133,3759.739131925734,6,K
12,32768,-3628.3636363636397,0.05,3628.3636363636397,1219.7007704344805,3759.739131925734,7,K
12,32768,-3587.7272727273,0.05,3587.7272727273,1190.9798377463417,3759.739131925734,8,K
12,32768,-3614.545454545477,0.05,3614.545454545477,1215.7622385923446,3759.739131925734,9,K
12,32768,-3595.0000000000023,0.05,3595.0000000000023,1205.4362513003134,3759.739131925734,10,K
12,32768,-3646.363636363659,0.05,3646.363636363659,1247.791819620999,3759.739131925734,11,K
16,32768,-3395.999999999988,0.05,3395.999999999988,1286.5844592928934,5012.985509234312,0,K
16,32768,-3400.2666666666573,0.05,3400.2666666666573,1224.9867676825747,5012.985509234312,1,K
16,32768,-3393.9333333333275,0.05,3393.9333333333275,1233.3807704458713,5012.985509234312,2,K
16,32768,-3377.200000000008,0.05,3377.200000000008,1267.5122774208771,5012.985509234312,3,K
16,32768,-3353.1333333333273,0.05,3353.1333333333273,1306.2095528790583,5012.985509234312,4,K
16,32768,-3414.9999999999754,0.05,3414.9999999999754,1296.7743574789379,5012.985509234312,5,K
16,32768,-3396.3333333333294,0.05,3396.3333333333294,1234.512620118879,5012.985509234312,6,K
16,32768,-3400.266666666682,0.05,3400.266666666682,1274.3271617642204,5012.985509234312,7,K
16,32768,-3386.399999999999,0.05,3386.399999999999,1221.6399589092375,5012.985509234312,8,K
16,32768,-3390.999999999994,0.05,3390.999999999994,1266.421360423844,5012.985509234312,9,K
16,32768,-3390.733333333333,0.05,3390.733333333333,1314.9304409462793,5012.985509234312,10,K
16,32768,-3385.333333333329,0.05,3385.333333333329,1267.0585131646703,5012.985509234312,11,K
