K,N,bound,failed,max_error,rounds,seed,trial
16,512,0.13924464250769783,False,0.04778645833333334,16384,5160003,3
16,512,0.13924464250769783,False,0.04074710648148144,16384,5160004,4
16,512,0.13924464250769783,False,0.03554166666666664,16384,5160005,5
16,512,0.13924464250769783,False,0.03892881944444446,16384,5160006,6
16,512,0.13924464250769783,False,0.04519039351851856,16384,5160007,7
16,512,0.13924464250769783,False,0.04686458333333332,16384,5160008,8
16,512,0.13924464250769783,False,0.050619791666666636,16384,5160009,9
16,512,0.13924464250769783,False,0.04686631944444447,16384,5160010,10
16,512,0.13924464250769783,False,0.04839988425925923,16384,5160011,11
16,512,0.13924464250769783,False,0.04205729166666666,16384,5160012,12
16,512,0.13924464250769783,False,0.04388020833333334,16384,5160013,13
16,512,0.13924464250769783,False,0.06432291666666667,16384,5160014,14
16,512,0.13924464250769783,False,0.051505208333333274,16384,5160015,15
16,512,0.13924464250769783,False,0.04357291666666668,16384,5160016,16
16,512,0.13924464250769783,False,0.038770833333333365,16384,5160017,17
16,512,0.13924464250769783,False,0.05701099537037041,16384,5160018,18
16,512,0.13924464250769783,False,0.07174363425925925,16384,5160019,19
16,512,0.13924464250769783,False,0.03411458333333334,16384,5160020,20
16,512,0.13924464250769783,False,0.036718749999999994,16384,5160021,21
16,512,0.13924464250769783,False,0.04761979166666669,16384,5160022,22
16,512,0.13924464250769783,False,0.05928414351851846,16384,5160023,23
16,512,0.13924464250769783,False,0.04765625000000001,16384,5160024,24
16,512,0.13924464250769783,False,0.04866666666666675,16384,5160025,25
16,512,0.13924464250769783,False,0.049270833333333264,16384,5160026,26
16,512,0.13924464250769783,False,0.04192476851851856,16384,5160027,27
16,512,0.13924464250769783,False,0.06021006944444446,16384,5160028,28
16,512,0.13924464250769783,False,0.04726909722222222,16384,5160029,29
16,512,0.13924464250769783,False,0.057026041666666694,16384,5160030,30
16,512,0.13924464250769783,False,0.05013599537037039,16384,5160031,31
16,512,0.13924464250769783,False,0.05195312499999999,16384,5160032,32
16,512,0.13924464250769783,False,0.05299479166666665,16384,5160033,33
16,512,0.13924464250769783,False,0.05271759259259262,16384,5160034,34
16,512,0.13924464250769783,False,0.04040046296296296,16384,5160035,35
16,512,0.13924464250769783,False,0.04117708333333325,16384,5160036,36
16,512,0.13924464250769783,False,0.054557291666666674,16384,5160037,37
16,512,0.13924464250769783,False,0.0492042824074074,16384,5160038,38
16,512,0.13924464250769783,False,0.05845312499999994,16384,5160039,39
16,512,0.13924464250769783,False,0.04721180555555554,16384,5160040,40
16,512,0.13924464250769783,False,0.06562499999999999,16384,5160041,41
16,512,0.13924464250769783,False,0.06418460648148144,16384,5160042,42
16,512,0.13924464250769783,False,0.04423148148148154,16384,5160043,43
16,512,0.13924464250769783,False,0.04656250000000006,16384,5160044,44
16,512,0.13924464250769783,False,0.06053009259259262,16384,5160045,45
16,512,0.13924464250769783,False,0.033927083333333274,16384,5160046,46
16,512,0.13924464250769783,False,0.044921875,16384,5160047,47
16,512,0.13924464250769783,False,0.076171875,16384,5160048,48
16,512,0.13924464250769783,False,0.04153645833333333,16384,5160049,49
16,512,0.13924464250769783,False,0.052604166666666674,16384,5160050,50
16,512,0.13924464250769783,False,0.05505787037037041,16384,5160051,51
16,512,0.13924464250769783,False,0.04570312500000001,16384,5160052,52
16,512,0.13924464250769783,False,0.05494791666666665,16384,5160053,53
16,512,0.13924464250769783,False,0.04505613425925928,16384,5160054,54
16,512,0.13924464250769783,False,0.04404629629629625,16384,5160055,55
16,512,0.13924464250769783,False,0.04830729166666664,16384,5160056,56
16,512,0.13924464250769783,False,0.04752025462962961,16384,5160057,57
16,512,0.13924464250769783,False,0.044791666666666674,16384,5160058,58
16,512,0.13924464250769783,False,0.04596354166666666,16384,5160059,59
16,512,0.13924464250769783,False,0.04140624999999998,16384,5160060,60
16,512,0.13924464250769783,False,0.05680208333333325,16384,5160061,61
16,512,0.13924464250769783,False,0.06914062500000001,16384,5160062,62
16,512,0.13924464250769783,False,0.05437499999999995,16384,5160063,63
16,512,0.13924464250769783,False,0.05950289351851851,16384,5160064,64
16,512,0.13924464250769783,False,0.048385416666666736,16384,5160065,65
16,512,0.13924464250769783,False,0.045052083333333326,16384,5160066,66
16,512,0.13924464250769783,False,0.05377604166666666,16384,5160067,67
16,512,0.13924464250769783,False,0.03571180555555553,16384,5160068,68
16,512,0.13924464250769783,False,0.04973437499999997,16384,5160069,69
16,512,0.13924464250769783,False,0.04544270833333336,16384,5160070,70
16,512,0.13924464250769783,False,0.04387789351851856,16384,5160071,71
16,512,0.13924464250769783,False,0.05625000000000002,16384,5160072,72
16,512,0.13924464250769783,False,0.052213541666666696,16384,5160073,73
16,512,0.13924464250769783,False,0.05299479166666665,16384,5160074,74
16,512,0.13924464250769783,False,0.04173958333333333,16384,5160075,75
16,512,0.13924464250769783,False,0.05092187500000006,16384,5160076,76
16,512,0.13924464250769783,False,0.04436631944444441,16384,5160077,77
16,512,0.13924464250769783,False,0.04726562499999998,16384,5160078,78
16,512,0.13924464250769783,False,0.059895833333333315,16384,5160079,79
16,512,0.13924464250769783,False,0.05893055555555554,16384,5160080,80
16,512,0.13924464250769783,False,0.0366666666666666,16384,5160081,81
16,512,0.13924464250769783,False,0.05697743055555554,16384,5160082,82
16,512,0.13924464250769783,False,0.06053645833333332,16384,5160083,83
16,512,0.13924464250769783,False,0.04465335648148144,16384,5160084,84
16,512,0.13924464250769783,False,0.05999131944444441,16384,5160085,85
16,512,0.13924464250769783,False,0.040364583333333315,16384,5160086,86
16,512,0.13924464250769783,False,0.05390624999999999,16384,5160087,87
16,512,0.13924464250769783,False,0.056119791666666696,16384,5160088,88
16,512,0.13924464250769783,False,0.039223958333333364,16384,5160089,89
16,512,0.13924464250769783,False,0.03932291666666665,16384,5160090,90
16,512,0.13924464250769783,False,0.04830729166666667,16384,5160091,91
16,512,0.13924464250769783,False,0.0625,16384,5160092,92
16,512,0.13924464250769783,False,0.054678819444444415,16384,5160093,93
16,512,0.13924464250769783,False,0.04986979166666666,16384,5160094,94
16,512,0.13924464250769783,False,0.0625,16384,5160095,95
16,512,0.13924464250769783,False,0.04140624999999998,16384,5160096,96
16,512,0.13924464250769783,False,0.05230034722222218,16384,5160097,97
16,512,0.13924464250769783,False,0.06619386574074074,16384,5160098,98
16,512,0.13924464250769783,False,0.0550636574074074,16384,5160099,99
16,512,0.13924464250769783,False,0.05300289351851856,16384,5160100,100
16,512,0.13924464250769783,False,0.05016608796296296,16384,5160101,101
16,512,0.13924464250769783,False,0.04583333333333334,16384,5160102,102
16,512,0.13924464250769783,False,0.042612847222222194,16384,5160103,103
16,512,0.13924464250769783,False,0.05104976851851856,16384,5160104,104
16,512,0.13924464250769783,False,0.058256944444444514,16384,5160105,105
16,512,0.13924464250769783,False,0.04224479166666667,16384,5160106,106
16,512,0.13924464250769783,False,0.05520833333333336,16384,5160107,107
16,512,0.13924464250769783,False,0.03892824074074072,16384,5160108,108
16,512,0.13924464250769783,False,0.04884490740740738,16384,5160109,109
16,512,0.13924464250769783,False,0.04609374999999999,16384,5160110,110
16,512,0.13924464250769783,False,0.037897569444444446,16384,5160111,111
16,512,0.13924464250769783,False,0.04122800925925926,16384,5160112,112
16,512,0.13924464250769783,False,0.045645833333333274,16384,5160113,113
16,512,0.13924464250769783,False,0.03996759259259264,16384,5160114,114
16,512,0.13924464250769783,False,0.05416550925925928,16384,5160115,115
16,512,0.13924464250769783,False,0.05450231481481482,16384,5160116,116
16,512,0.13924464250769783,False,0.048177083333333315,16384,5160117,117
16,512,0.13924464250769783,False,0.04960937500000001,16384,5160118,118
16,512,0.13924464250769783,False,0.04335937499999998,16384,5160119,119
16,512,0.13924464250769783,False,0.04778645833333334,16384,5160120,120
16,512,0.13924464250769783,False,0.04414062499999999,16384,5160121,121
16,512,0.13924464250769783,False,0.05111805555555554,16384,5160122,122
16,512,0.13924464250769783,False,0.04804687499999999,16384,5160123,123
16,512,0.13924464250769783,False,0.04648437500000002,16384,5160124,124
16,512,0.13924464250769783,False,0.054166666666666696,16384,5160125,125
16,512,0.13924464250769783,False,0.03971643518518522,16384,5160126,126
16,512,0.13924464250769783,False,0.050942708333333364,16384,5160127,127
32,1024,0.10511107610798887,False,0.04041715225445608,65536,5320000,0
32,1024,0.10511107610798887,False,0.041303404604159044,65536,5320001,1
